,A* cost to goal (dependant),State,x distance,y distance
887,10.0,BASH,4,2
888,-4.0,FORWARD,3,2
889,-13.0,BASH,2,2
890,-29.0,FORWARD,1,2
891,-44.0,RIGHT,0,2
892,-60.0,FORWARD,0,2
893,-75.0,FORWARD,0,1
894,1.0,Goal,0,0
895,3.0,Start,0,2
896,2.0,RIGHT,0,2
897,1.0,BASH,0,2
898,-5.0,FORWARD,0,1
899,1.0,Goal,0,0
900,12.0,Start,3,2
901,8.0,LEFT,3,2
902,4.0,LEFT,3,2
903,0.0,FORWARD,3,2
904,-6.0,FORWARD,2,2
905,-11.0,FORWARD,1,2
906,-21.0,LEFT,0,2
907,-33.0,BASH,0,2
908,-52.0,FORWARD,0,1
909,1.0,Goal,0,0
910,11.0,Start,2,3
911,7.0,RIGHT,2,3
912,3.0,BASH,2,3
913,-10.0,FORWARD,2,2
914,-20.0,FORWARD,2,1
915,-29.0,LEFT,2,0
916,-38.0,BASH,2,0
917,-53.0,FORWARD,1,0
918,1.0,Goal,0,0
919,4.0,Start,1,1
920,3.0,FORWARD,1,1
921,-1.0,RIGHT,0,1
922,-6.0,FORWARD,0,1
923,1.0,Goal,0,0
924,12.0,Start,2,3
925,8.0,LEFT,2,3
926,4.0,LEFT,2,3
927,0.0,FORWARD,2,3
928,-4.0,RIGHT,1,3
929,-8.0,BASH,1,3
930,-22.0,FORWARD,1,2
931,-30.0,FORWARD,1,1
932,-42.0,LEFT,1,0
933,-55.0,FORWARD,1,0
934,1.0,Goal,0,0
935,15.0,Start,4,3
936,9.0,RIGHT,4,3
937,3.0,FORWARD,4,3
938,-5.0,LEFT,4,2
939,-14.0,FORWARD,4,2
940,-22.0,BASH,3,2
941,-38.0,FORWARD,2,2
942,-52.0,FORWARD,1,2
943,-65.0,RIGHT,0,2
944,-78.0,BASH,0,2
945,-97.0,FORWARD,0,1
946,1.0,Goal,0,0
947,0.0,Start,1,0
948,0.0,FORWARD,1,0
949,1.0,Goal,0,0
950,22.0,Start,2,5
951,16.0,FORWARD,2,5
952,5.0,RIGHT,1,5
953,-8.0,BASH,1,5
954,-28.0,FORWARD,1,4
955,-46.0,BASH,1,3
956,-73.0,FORWARD,1,2
957,-94.0,FORWARD,1,1
958,-116.0,LEFT,1,0
959,-139.0,FORWARD,1,0
960,1.0,Goal,0,0
961,8.0,Start,3,2
962,4.0,RIGHT,3,2
963,0.0,BASH,3,2
964,-13.0,FORWARD,3,1
965,-19.0,RIGHT,3,0
966,-25.0,BASH,3,0
967,-40.0,FORWARD,2,0
968,-48.0,FORWARD,1,0
969,1.0,Goal,0,0
970,1.0,Start,1,1
971,0.0,FORWARD,1,1
972,-1.0,LEFT,0,1
973,-2.0,FORWARD,0,1
974,1.0,Goal,0,0
975,22.0,Start,4,3
976,16.0,LEFT,4,3
977,10.0,FORWARD,4,3
978,0.0,RIGHT,4,4
979,-11.0,BASH,4,4
980,-24.0,FORWARD,3,4
981,-41.0,BASH,2,4
982,-59.0,FORWARD,1,4
983,-76.0,RIGHT,0,4
984,-93.0,BASH,0,4
985,-116.0,FORWARD,0,3
986,-137.0,BASH,0,2
987,-160.0,FORWARD,0,1
988,1.0,Goal,0,0
989,25.0,Start,5,3
990,18.0,RIGHT,5,3
991,11.0,BASH,5,3
992,-1.0,FORWARD,5,2
993,-16.0,RIGHT,5,1
994,-33.0,BASH,5,1
995,-57.0,FORWARD,4,1
996,-80.0,FORWARD,3,1
997,-103.0,LEFT,2,1
998,-127.0,FORWARD,2,1
999,-150.0,RIGHT,2,0
1000,-173.0,BASH,2,0
1001,-204.0,FORWARD,1,0
1002,1.0,Goal,0,0
1003,5.0,Start,2,1
1004,3.0,FORWARD,2,1
1005,1.0,LEFT,1,1
1006,-1.0,FORWARD,1,1
1007,-6.0,RIGHT,1,0
1008,-12.0,FORWARD,1,0
1009,1.0,Goal,0,0
1010,5.0,Start,3,1
1011,2.0,LEFT,3,1
1012,-1.0,LEFT,3,1
1013,-4.0,BASH,3,1
1014,-12.0,FORWARD,2,1
1015,-17.0,RIGHT,1,1
1016,-22.0,FORWARD,1,1
1017,-27.0,LEFT,1,0
1018,-32.0,FORWARD,1,0
1019,1.0,Goal,0,0
1020,8.0,Start,1,4
1021,4.0,LEFT,1,4
1022,0.0,LEFT,1,4
1023,-4.0,FORWARD,1,4
1024,-8.0,LEFT,0,4
1025,-12.0,FORWARD,0,4
1026,-19.0,BASH,0,3
1027,-33.0,FORWARD,0,2
1028,-41.0,FORWARD,0,1
1029,1.0,Goal,0,0
1030,31.0,Start,1,7
1031,24.0,LEFT,1,7
1032,17.0,FORWARD,1,7
1033,5.0,LEFT,1,6
1034,-9.0,BASH,1,6
1035,-32.0,FORWARD,0,6
1036,-53.0,RIGHT,1,6
1037,-76.0,BASH,1,6
1038,-103.0,FORWARD,1,5
1039,-126.0,BASH,1,4
1040,-156.0,FORWARD,1,3
1041,-183.0,RIGHT,1,2
1042,-211.0,FORWARD,1,2
1043,-240.0,LEFT,0,2
1044,-270.0,BASH,0,2
1045,-303.0,FORWARD,0,1
1046,1.0,Goal,0,0
1047,23.0,Start,5,3
1048,16.0,LEFT,5,3
1049,9.0,LEFT,5,3
1050,2.0,BASH,5,3
1051,-14.0,FORWARD,4,3
1052,-23.0,FORWARD,3,3
1053,-34.0,BASH,2,3
1054,-52.0,FORWARD,1,3
1055,-70.0,RIGHT,0,3
1056,-90.0,BASH,0,3
1057,-120.0,FORWARD,0,2
1058,-144.0,FORWARD,0,1
1059,1.0,Goal,0,0
1060,16.0,Start,5,0
1061,12.0,BASH,5,0
1062,-1.0,FORWARD,4,0
1063,-10.0,FORWARD,3,0
1064,-27.0,BASH,2,0
1065,-46.0,FORWARD,1,0
1066,1.0,Goal,0,0
1067,3.0,Start,0,2
1068,2.0,RIGHT,0,2
1069,1.0,BASH,0,2
1070,-6.0,FORWARD,0,1
1071,1.0,Goal,0,0
1072,36.0,Start,8,8
1073,21.0,RIGHT,8,8
1074,6.0,FORWARD,8,8
1075,-9.0,BASH,8,7
1076,-28.0,FORWARD,8,6
1077,-45.0,FORWARD,8,5
1078,-62.0,RIGHT,8,4
1079,-79.0,BASH,8,4
1080,-104.0,FORWARD,7,4
1081,-129.0,FORWARD,6,4
1082,-154.0,FORWARD,5,4
1083,-180.0,LEFT,4,4
1084,-207.0,FORWARD,4,4
1085,-235.0,RIGHT,4,3
1086,-264.0,FORWARD,4,3
1087,-294.0,BASH,3,3
1088,-332.0,FORWARD,2,3
1089,-363.0,FORWARD,1,3
1090,-396.0,LEFT,0,3
1091,-430.0,FORWARD,0,3
1092,-465.0,BASH,0,2
1093,-507.0,FORWARD,0,1
1094,1.0,Goal,0,0
1095,36.0,Start,7,6
1096,24.0,LEFT,7,6
1097,12.0,LEFT,7,6
1098,0.0,FORWARD,7,6
1099,-14.0,FORWARD,6,6
1100,-33.0,BASH,5,6
1101,-54.0,FORWARD,4,6
1102,-76.0,RIGHT,3,6
1103,-99.0,FORWARD,3,6
1104,-126.0,BASH,3,5
1105,-160.0,FORWARD,3,4
1106,-189.0,BASH,3,3
1107,-224.0,FORWARD,3,2
1108,-256.0,LEFT,3,1
1109,-289.0,FORWARD,3,1
1110,-323.0,FORWARD,2,1
1111,-358.0,FORWARD,1,1
1112,-394.0,RIGHT,0,1
1113,-431.0,FORWARD,0,1
1114,1.0,Goal,0,0
1115,16.0,Start,6,0
1116,11.0,BASH,6,0
1117,0.0,FORWARD,5,0
1118,-16.0,BASH,4,0
1119,-36.0,FORWARD,3,0
1120,-53.0,FORWARD,2,0
1121,-69.0,FORWARD,1,0
1122,1.0,Goal,0,0
1123,9.0,Start,3,3
1124,4.0,RIGHT,3,3
1125,-1.0,FORWARD,3,3
1126,-6.0,LEFT,3,2
1127,-11.0,BASH,3,2
1128,-23.0,FORWARD,2,2
1129,-30.0,FORWARD,1,2
1130,-37.0,RIGHT,0,2
1131,-44.0,BASH,0,2
1132,-54.0,FORWARD,0,1
1133,1.0,Goal,0,0
1134,19.0,Start,5,3
1135,12.0,LEFT,5,3
1136,5.0,LEFT,5,3
1137,-2.0,FORWARD,5,3
1138,-9.0,LEFT,4,3
1139,-16.0,FORWARD,4,3
1140,-28.0,BASH,4,2
1141,-43.0,FORWARD,4,1
1142,-55.0,RIGHT,4,0
1143,-67.0,FORWARD,4,0
1144,-81.0,FORWARD,3,0
1145,-100.0,BASH,2,0
1146,-119.0,FORWARD,1,0
1147,1.0,Goal,0,0
1148,3.0,Start,2,0
1149,2.0,BASH,2,0
1150,-6.0,FORWARD,1,0
1151,1.0,Goal,0,0
1152,7.0,Start,1,1
1153,6.0,FORWARD,1,1
1154,-1.0,RIGHT,0,1
1155,-9.0,FORWARD,0,1
1156,1.0,Goal,0,0
1157,23.0,Start,7,4
1158,13.0,RIGHT,7,4
1159,3.0,FORWARD,7,4
1160,-9.0,BASH,7,3
1161,-25.0,FORWARD,7,2
1162,-40.0,FORWARD,7,1
1163,-54.0,RIGHT,7,0
1164,-68.0,BASH,7,0
1165,-91.0,FORWARD,6,0
1166,-110.0,BASH,5,0
1167,-131.0,FORWARD,4,0
1168,-153.0,BASH,3,0
1169,-182.0,FORWARD,2,0
1170,-205.0,FORWARD,1,0
1171,1.0,Goal,0,0
1172,4.0,Start,1,2
1173,2.0,RIGHT,1,2
1174,0.0,BASH,1,2
1175,-11.0,FORWARD,1,1
1176,-15.0,LEFT,1,0
1177,-19.0,FORWARD,1,0
1178,1.0,Goal,0,0
1179,28.0,Start,4,6
1180,19.0,RIGHT,4,6
1181,10.0,BASH,4,6
1182,-10.0,FORWARD,4,5
1183,-26.0,LEFT,4,4
1184,-44.0,FORWARD,4,4
1185,-62.0,FORWARD,3,4
1186,-81.0,BASH,2,4
1187,-105.0,FORWARD,1,4
1188,-125.0,RIGHT,0,4
1189,-145.0,BASH,0,4
1190,-177.0,FORWARD,0,3
1191,-205.0,BASH,0,2
1192,-240.0,FORWARD,0,1
1193,1.0,Goal,0,0
1194,20.0,Start,5,0
1195,16.0,BASH,5,0
1196,0.0,FORWARD,4,0
1197,-18.0,BASH,3,0
1198,-40.0,FORWARD,2,0
1199,-61.0,FORWARD,1,0
1200,1.0,Goal,0,0
1201,24.0,Start,6,3
1202,16.0,LEFT,6,3
1203,8.0,LEFT,6,3
1204,0.0,BASH,6,3
1205,-13.0,FORWARD,5,3
1206,-23.0,RIGHT,4,3
1207,-33.0,BASH,4,3
1208,-52.0,FORWARD,4,2
1209,-66.0,LEFT,4,1
1210,-81.0,FORWARD,4,1
1211,-95.0,RIGHT,3,1
1212,-109.0,FORWARD,3,1
1213,-128.0,LEFT,3,0
1214,-149.0,FORWARD,3,0
1215,-173.0,BASH,2,0
1216,-198.0,FORWARD,1,0
1217,1.0,Goal,0,0
1218,1.0,Start,1,1
1219,0.0,FORWARD,1,1
1220,-1.0,RIGHT,0,1
1221,-2.0,FORWARD,0,1
1222,1.0,Goal,0,0
1223,10.0,Start,2,2
1224,7.0,RIGHT,2,2
1225,4.0,BASH,2,2
1226,-4.0,FORWARD,2,1
1227,-12.0,LEFT,2,0
1228,-21.0,BASH,2,0
1229,-38.0,FORWARD,1,0
1230,1.0,Goal,0,0
1231,32.0,Start,2,8
1232,23.0,LEFT,2,8
1233,14.0,BASH,2,8
1234,-1.0,FORWARD,2,7
1235,-21.0,BASH,2,6
1236,-44.0,FORWARD,2,5
1237,-68.0,BASH,2,4
1238,-98.0,FORWARD,2,3
1239,-124.0,RIGHT,2,2
1240,-151.0,BASH,2,2
1241,-184.0,FORWARD,1,2
1242,-214.0,LEFT,0,2
1243,-245.0,BASH,0,2
1244,-279.0,FORWARD,0,1
1245,1.0,Goal,0,0
1246,19.0,Start,1,5
1247,14.0,LEFT,1,5
1248,9.0,BASH,1,5
1249,-7.0,FORWARD,1,4
1250,-17.0,RIGHT,1,3
1251,-28.0,FORWARD,1,3
1252,-41.0,LEFT,0,3
1253,-55.0,FORWARD,0,3
1254,-74.0,BASH,0,2
1255,-98.0,FORWARD,0,1
1256,1.0,Goal,0,0
1257,1.0,Goal,0,0
1258,-1.0,Start,0,0
1259,15.0,Start,3,3
1260,10.0,RIGHT,3,3
1261,5.0,BASH,3,3
1262,-11.0,FORWARD,3,2
1263,-21.0,LEFT,3,1
1264,-32.0,FORWARD,3,1
1265,-47.0,BASH,2,1
1266,-63.0,FORWARD,1,1
1267,-78.0,RIGHT,0,1
1268,-93.0,FORWARD,0,1
1269,1.0,Goal,0,0
1270,3.0,Start,1,2
1271,1.0,LEFT,1,2
1272,-1.0,FORWARD,1,2
1273,-5.0,FORWARD,1,1
1274,-8.0,LEFT,1,0
1275,-11.0,FORWARD,1,0
1276,1.0,Goal,0,0
1277,14.0,Start,5,2
1278,8.0,FORWARD,5,2
1279,-1.0,BASH,4,2
1280,-14.0,FORWARD,3,2
1281,-24.0,RIGHT,2,2
1282,-34.0,BASH,2,2
1283,-51.0,FORWARD,2,1
1284,-63.0,LEFT,2,0
1285,-75.0,BASH,2,0
1286,-96.0,FORWARD,1,0
1287,1.0,Goal,0,0
1288,36.0,Start,5,5
1289,27.0,RIGHT,5,5
1290,18.0,BASH,5,5
1291,-2.0,FORWARD,5,4
1292,-25.0,RIGHT,5,3
1293,-52.0,BASH,5,3
1294,-83.0,FORWARD,4,3
1295,-108.0,BASH,3,3
1296,-145.0,FORWARD,2,3
1297,-178.0,FORWARD,1,3
1298,-210.0,LEFT,0,3
1299,-242.0,FORWARD,0,3
1300,-277.0,BASH,0,2
1301,-313.0,FORWARD,0,1
1302,1.0,Goal,0,0
1303,25.0,Start,4,5
1304,17.0,RIGHT,4,5
1305,9.0,FORWARD,4,5
1306,-3.0,RIGHT,4,6
1307,-16.0,FORWARD,4,6
1308,-28.0,RIGHT,3,6
1309,-40.0,BASH,3,6
1310,-57.0,FORWARD,3,5
1311,-71.0,BASH,3,4
1312,-91.0,FORWARD,3,3
1313,-109.0,LEFT,3,2
1314,-128.0,FORWARD,3,2
1315,-146.0,BASH,2,2
1316,-172.0,FORWARD,1,2
1317,-195.0,RIGHT,0,2
1318,-219.0,BASH,0,2
1319,-250.0,FORWARD,0,1
1320,1.0,Goal,0,0
1321,17.0,Start,2,5
1322,11.0,BASH,2,5
1323,0.0,FORWARD,1,5
1324,-10.0,RIGHT,0,5
1325,-21.0,BASH,0,5
1326,-36.0,FORWARD,0,4
1327,-48.0,BASH,0,3
1328,-68.0,FORWARD,0,2
1329,-86.0,FORWARD,0,1
1330,1.0,Goal,0,0
1331,29.0,Start,2,8
1332,20.0,LEFT,2,8
1333,11.0,LEFT,2,8
1334,2.0,BASH,2,8
1335,-15.0,FORWARD,1,8
1336,-28.0,LEFT,0,8
1337,-42.0,BASH,0,8
1338,-63.0,FORWARD,0,7
1339,-81.0,BASH,0,6
1340,-106.0,FORWARD,0,5
1341,-133.0,BASH,0,4
1342,-166.0,FORWARD,0,3
1343,-194.0,BASH,0,2
1344,-223.0,FORWARD,0,1
1345,1.0,Goal,0,0
1346,18.0,Start,4,5
1347,10.0,LEFT,4,5
1348,2.0,FORWARD,4,5
1349,-6.0,FORWARD,4,4
1350,-14.0,BASH,4,3
1351,-30.0,FORWARD,4,2
1352,-40.0,FORWARD,4,1
1353,-53.0,RIGHT,4,0
1354,-67.0,FORWARD,4,0
1355,-80.0,BASH,3,0
1356,-102.0,FORWARD,2,0
1357,-121.0,FORWARD,1,0
1358,1.0,Goal,0,0
1359,25.0,Start,3,6
1360,17.0,RIGHT,3,6
1361,9.0,BASH,3,6
1362,-5.0,FORWARD,3,5
1363,-17.0,RIGHT,3,4
1364,-30.0,BASH,3,4
1365,-48.0,FORWARD,2,4
1366,-65.0,LEFT,1,4
1367,-83.0,FORWARD,1,4
1368,-102.0,FORWARD,1,3
1369,-128.0,BASH,1,2
1370,-156.0,FORWARD,1,1
1371,-181.0,RIGHT,1,0
1372,-206.0,FORWARD,1,0
1373,1.0,Goal,0,0
1374,15.0,Start,3,2
1375,11.0,LEFT,3,2
1376,7.0,LEFT,3,2
1377,3.0,FORWARD,3,2
1378,-3.0,RIGHT,2,2
1379,-10.0,FORWARD,2,2
1380,-21.0,BASH,2,1
1381,-34.0,FORWARD,2,0
1382,-47.0,LEFT,2,1
1383,-60.0,BASH,2,1
1384,-79.0,FORWARD,1,1
1385,-94.0,LEFT,0,1
1386,-109.0,FORWARD,0,1
1387,1.0,Goal,0,0
1388,12.0,Start,4,2
1389,7.0,LEFT,4,2
1390,2.0,BASH,4,2
1391,-9.0,FORWARD,4,1
1392,-16.0,LEFT,4,0
1393,-23.0,FORWARD,4,0
1394,-30.0,BASH,3,0
1395,-48.0,FORWARD,2,0
1396,-61.0,FORWARD,1,0
1397,1.0,Goal,0,0
1398,20.0,Start,6,3
1399,12.0,FORWARD,6,3
1400,4.0,FORWARD,5,3
1401,-10.0,RIGHT,4,3
1402,-25.0,FORWARD,4,3
1403,-39.0,BASH,4,2
1404,-57.0,FORWARD,4,1
1405,-73.0,LEFT,4,0
1406,-89.0,FORWARD,4,0
1407,-108.0,BASH,3,0
1408,-130.0,FORWARD,2,0
1409,-150.0,FORWARD,1,0
1410,1.0,Goal,0,0
1411,8.0,Start,4,1
1412,4.0,LEFT,4,1
1413,0.0,FORWARD,4,1
1414,-6.0,LEFT,4,0
1415,-13.0,FORWARD,4,0
1416,-19.0,FORWARD,3,0
1417,-25.0,BASH,2,0
1418,-35.0,FORWARD,1,0
1419,1.0,Goal,0,0
1420,22.0,Start,7,3
1421,13.0,LEFT,7,3
1422,4.0,LEFT,7,3
1423,-5.0,FORWARD,7,3
1424,-14.0,FORWARD,6,3
1425,-26.0,BASH,5,3
1426,-42.0,FORWARD,4,3
1427,-55.0,LEFT,3,3
1428,-68.0,FORWARD,3,3
1429,-81.0,RIGHT,3,2
1430,-94.0,FORWARD,3,2
1431,-115.0,BASH,2,2
1432,-137.0,FORWARD,1,2
1433,-157.0,LEFT,0,2
1434,-177.0,BASH,0,2
1435,-204.0,FORWARD,0,1
1436,1.0,Goal,0,0
1437,19.0,Start,4,5
1438,11.0,LEFT,4,5
1439,3.0,LEFT,4,5
1440,-5.0,FORWARD,4,5
1441,-13.0,BASH,3,5
1442,-26.0,FORWARD,2,5
1443,-36.0,FORWARD,1,5
1444,-46.0,LEFT,0,5
1445,-56.0,FORWARD,0,5
1446,-72.0,BASH,0,4
1447,-90.0,FORWARD,0,3
1448,-108.0,BASH,0,2
1449,-129.0,FORWARD,0,1
1450,1.0,Goal,0,0
1451,12.0,Start,5,1
1452,7.0,BASH,5,1
1453,-4.0,FORWARD,4,1
1454,-13.0,RIGHT,3,1
1455,-23.0,FORWARD,3,1
1456,-32.0,LEFT,3,0
1457,-41.0,FORWARD,3,0
1458,-52.0,BASH,2,0
1459,-71.0,FORWARD,1,0
1460,1.0,Goal,0,0
1461,18.0,Start,1,6
1462,12.0,LEFT,1,6
1463,6.0,BASH,1,6
1464,-12.0,FORWARD,1,5
1465,-26.0,RIGHT,1,4
1466,-41.0,FORWARD,1,4
1467,-55.0,LEFT,0,4
1468,-69.0,BASH,0,4
1469,-88.0,FORWARD,0,3
1470,-104.0,BASH,0,2
1471,-125.0,FORWARD,0,1
1472,1.0,Goal,0,0
1473,6.0,Start,2,2
1474,3.0,FORWARD,2,2
1475,-2.0,FORWARD,1,2
1476,-6.0,LEFT,0,2
1477,-10.0,BASH,0,2
1478,-23.0,FORWARD,0,1
1479,1.0,Goal,0,0
1480,31.0,Start,3,7
1481,22.0,RIGHT,3,7
1482,13.0,FORWARD,3,7
1483,-4.0,BASH,3,6
1484,-26.0,FORWARD,3,5
1485,-48.0,BASH,3,4
1486,-73.0,FORWARD,3,3
1487,-101.0,BASH,3,2
1488,-130.0,FORWARD,3,1
1489,-158.0,LEFT,3,0
1490,-186.0,FORWARD,3,0
1491,-216.0,BASH,2,0
1492,-248.0,FORWARD,1,0
1493,1.0,Goal,0,0
1494,20.0,Start,7,3
1495,11.0,FORWARD,7,3
1496,0.0,LEFT,6,3
1497,-12.0,FORWARD,6,3
1498,-23.0,RIGHT,6,2
1499,-34.0,FORWARD,6,2
1500,-48.0,BASH,5,2
1501,-73.0,FORWARD,4,2
1502,-92.0,FORWARD,3,2
1503,-110.0,FORWARD,2,2
1504,-128.0,LEFT,1,2
1505,-146.0,FORWARD,1,2
1506,-166.0,RIGHT,1,1
1507,-187.0,FORWARD,1,1
1508,-207.0,LEFT,0,1
1509,-227.0,FORWARD,0,1
1510,1.0,Goal,0,0
1511,6.0,Start,1,2
1512,4.0,LEFT,1,2
1513,2.0,BASH,1,2
1514,-6.0,FORWARD,1,1
1515,-12.0,LEFT,1,0
1516,-19.0,FORWARD,1,0
1517,1.0,Goal,0,0
1518,3.0,Start,2,0
1519,2.0,LEFT,2,0
1520,1.0,LEFT,2,0
1521,0.0,BASH,2,0
1522,-9.0,FORWARD,1,0
1523,1.0,Goal,0,0
1524,25.0,Start,3,5
1525,18.0,LEFT,3,5
1526,11.0,BASH,3,5
1527,-4.0,FORWARD,3,4
1528,-13.0,FORWARD,3,3
1529,-25.0,LEFT,3,2
1530,-38.0,FORWARD,3,2
1531,-53.0,RIGHT,2,2
1532,-69.0,BASH,2,2
1533,-95.0,FORWARD,2,1
1534,-117.0,FORWARD,2,0
1535,-140.0,LEFT,2,1
1536,-163.0,BASH,2,1
1537,-193.0,FORWARD,1,1
1538,-218.0,LEFT,0,1
1539,-243.0,FORWARD,0,1
1540,1.0,Goal,0,0
1541,1.0,Start,2,0
1542,0.0,FORWARD,2,0
1543,-1.0,FORWARD,1,0
1544,1.0,Goal,0,0
1545,20.0,Start,5,4
1546,12.0,LEFT,5,4
1547,4.0,LEFT,5,4
1548,-4.0,FORWARD,5,4
1549,-14.0,FORWARD,4,4
1550,-26.0,LEFT,3,4
1551,-39.0,FORWARD,3,4
1552,-53.0,BASH,3,3
1553,-72.0,FORWARD,3,2
1554,-89.0,FORWARD,3,1
1555,-105.0,RIGHT,3,0
1556,-121.0,FORWARD,3,0
1557,-140.0,BASH,2,0
1558,-167.0,FORWARD,1,0
1559,1.0,Goal,0,0
1560,5.0,Start,2,2
1561,2.0,LEFT,2,2
1562,-1.0,FORWARD,2,2
1563,-4.0,RIGHT,2,1
1564,-7.0,BASH,2,1
1565,-14.0,FORWARD,1,1
1566,-19.0,LEFT,0,1
1567,-24.0,FORWARD,0,1
1568,1.0,Goal,0,0
1569,22.0,Start,7,1
1570,15.0,LEFT,7,1
1571,8.0,FORWARD,7,1
1572,-1.0,RIGHT,7,2
1573,-10.0,BASH,7,2
1574,-31.0,FORWARD,6,2
1575,-48.0,FORWARD,5,2
1576,-64.0,BASH,4,2
1577,-84.0,FORWARD,3,2
1578,-102.0,BASH,2,2
1579,-124.0,FORWARD,1,2
1580,-144.0,RIGHT,0,2
1581,-164.0,BASH,0,2
1582,-186.0,FORWARD,0,1
1583,1.0,Goal,0,0
1584,31.0,Start,5,8
1585,19.0,RIGHT,5,8
1586,7.0,BASH,5,8
1587,-13.0,FORWARD,5,7
1588,-31.0,FORWARD,5,6
1589,-48.0,BASH,5,5
1590,-70.0,FORWARD,5,4
1591,-91.0,LEFT,5,3
1592,-113.0,BASH,5,3
1593,-138.0,FORWARD,4,3
1594,-161.0,FORWARD,3,3
1595,-184.0,BASH,2,3
1596,-213.0,FORWARD,1,3
1597,-241.0,RIGHT,0,3
1598,-270.0,FORWARD,0,3
1599,-300.0,BASH,0,2
1600,-335.0,FORWARD,0,1
1601,1.0,Goal,0,0
1602,8.0,Start,2,3
1603,4.0,RIGHT,2,3
1604,0.0,BASH,2,3
1605,-10.0,FORWARD,2,2
1606,-16.0,RIGHT,2,1
1607,-22.0,FORWARD,2,1
1608,-28.0,FORWARD,1,1
1609,-36.0,LEFT,0,1
1610,-45.0,FORWARD,0,1
1611,1.0,Goal,0,0
1612,10.0,Start,4,1
1613,6.0,LEFT,4,1
1614,2.0,FORWARD,4,1
1615,-2.0,LEFT,4,0
1616,-6.0,BASH,4,0
1617,-20.0,FORWARD,3,0
1618,-29.0,BASH,2,0
1619,-41.0,FORWARD,1,0
1620,1.0,Goal,0,0
1621,19.0,Start,8,2
1622,10.0,LEFT,8,2
1623,1.0,FORWARD,8,2
1624,-10.0,LEFT,8,1
1625,-22.0,FORWARD,8,1
1626,-33.0,FORWARD,7,1
1627,-46.0,FORWARD,6,1
1628,-60.0,FORWARD,5,1
1629,-73.0,BASH,4,1
1630,-93.0,FORWARD,3,1
1631,-108.0,BASH,2,1
1632,-130.0,FORWARD,1,1
1633,-149.0,RIGHT,0,1
1634,-169.0,FORWARD,0,1
1635,1.0,Goal,0,0
1636,17.0,Start,4,5
1637,9.0,LEFT,4,5
1638,1.0,FORWARD,4,5
1639,-7.0,FORWARD,4,4
1640,-15.0,FORWARD,4,3
1641,-26.0,BASH,4,2
1642,-39.0,FORWARD,4,1
1643,-53.0,LEFT,4,0
1644,-68.0,FORWARD,4,0
1645,-84.0,BASH,3,0
1646,-104.0,FORWARD,2,0
1647,-121.0,FORWARD,1,0
1648,1.0,Goal,0,0
1649,17.0,Start,1,4
1650,13.0,RIGHT,1,4
1651,9.0,FORWARD,1,4
1652,3.0,FORWARD,1,3
1653,-13.0,BASH,1,2
1654,-31.0,FORWARD,1,1
1655,-48.0,LEFT,1,0
1656,-66.0,FORWARD,1,0
1657,1.0,Goal,0,0
