,A* cost to goal (dependant),State,x distance,y distance
204,6.0,FORWARD,4,1
205,2.0,RIGHT,3,1
206,-2.0,FORWARD,3,1
207,-12.0,LEFT,3,0
208,-24.0,BASH,3,0
209,-46.0,FORWARD,2,0
210,-65.0,FORWARD,1,0
211,1.0,Goal,0,0
212,27.0,Start,5,8
213,15.0,FORWARD,5,8
214,1.0,BASH,4,8
215,-21.0,FORWARD,3,8
216,-38.0,FORWARD,2,8
217,-54.0,LEFT,1,8
218,-70.0,FORWARD,1,8
219,-88.0,BASH,1,7
220,-113.0,FORWARD,1,6
221,-134.0,BASH,1,5
222,-157.0,FORWARD,1,4
223,-181.0,FORWARD,1,3
224,-204.0,RIGHT,1,2
225,-227.0,FORWARD,1,2
226,-252.0,LEFT,0,2
227,-278.0,BASH,0,2
228,-310.0,FORWARD,0,1
229,1.0,Goal,0,0
230,13.0,Start,3,1
231,10.0,BASH,3,1
232,-4.0,FORWARD,2,1
233,-14.0,FORWARD,1,1
234,-27.0,RIGHT,0,1
235,-41.0,FORWARD,0,1
236,1.0,Goal,0,0
237,20.0,Start,2,6
238,13.0,LEFT,2,6
239,6.0,LEFT,2,6
240,-1.0,BASH,2,6
241,-15.0,FORWARD,1,6
242,-26.0,LEFT,0,6
243,-38.0,BASH,0,6
244,-52.0,FORWARD,0,5
245,-67.0,BASH,0,4
246,-86.0,FORWARD,0,3
247,-105.0,BASH,0,2
248,-129.0,FORWARD,0,1
249,1.0,Goal,0,0
250,6.0,Start,1,1
251,5.0,LEFT,1,1
252,4.0,FORWARD,1,1
253,-2.0,RIGHT,1,0
254,-9.0,FORWARD,1,0
255,1.0,Goal,0,0
256,7.0,Start,3,1
257,4.0,BASH,3,1
258,-8.0,FORWARD,2,1
259,-13.0,LEFT,1,1
260,-18.0,FORWARD,1,1
261,-25.0,RIGHT,1,0
262,-33.0,FORWARD,1,0
263,1.0,Goal,0,0
264,18.0,Start,2,5
265,12.0,LEFT,2,5
266,6.0,FORWARD,2,5
267,-2.0,RIGHT,2,6
268,-10.0,FORWARD,2,6
269,-20.0,FORWARD,1,6
270,-29.0,RIGHT,0,6
271,-38.0,BASH,0,6
272,-55.0,FORWARD,0,5
273,-69.0,FORWARD,0,4
274,-84.0,BASH,0,3
275,-104.0,FORWARD,0,2
276,-123.0,FORWARD,0,1
277,1.0,Goal,0,0
278,14.0,Start,5,1
279,9.0,LEFT,5,1
280,4.0,FORWARD,5,1
281,-3.0,RIGHT,5,0
282,-11.0,FORWARD,5,0
283,-18.0,BASH,4,0
284,-30.0,FORWARD,3,0
285,-44.0,BASH,2,0
286,-59.0,FORWARD,1,0
287,1.0,Goal,0,0
288,21.0,Start,5,4
289,13.0,LEFT,5,4
290,5.0,FORWARD,5,4
291,-3.0,RIGHT,5,3
292,-11.0,BASH,5,3
293,-30.0,FORWARD,4,3
294,-45.0,BASH,3,3
295,-65.0,FORWARD,2,3
296,-82.0,LEFT,1,3
297,-100.0,FORWARD,1,3
298,-120.0,BASH,1,2
299,-144.0,FORWARD,1,1
300,-165.0,RIGHT,1,0
301,-186.0,FORWARD,1,0
302,1.0,Goal,0,0
303,21.0,Start,8,3
304,11.0,RIGHT,8,3
305,1.0,BASH,8,3
306,-15.0,FORWARD,8,2
307,-29.0,FORWARD,8,1
308,-44.0,RIGHT,8,0
309,-60.0,FORWARD,8,0
310,-75.0,FORWARD,7,0
311,-90.0,FORWARD,6,0
312,-108.0,BASH,5,0
313,-129.0,FORWARD,4,0
314,-148.0,FORWARD,3,0
315,-167.0,BASH,2,0
316,-191.0,FORWARD,1,0
317,1.0,Goal,0,0
318,9.0,Start,2,2
319,6.0,LEFT,2,2
320,3.0,LEFT,2,2
321,0.0,BASH,2,2
322,-10.0,FORWARD,1,2
323,-17.0,LEFT,0,2
324,-25.0,BASH,0,2
325,-40.0,FORWARD,0,1
326,1.0,Goal,0,0
327,3.0,Start,2,0
328,2.0,LEFT,2,0
329,1.0,LEFT,2,0
330,0.0,BASH,2,0
331,-7.0,FORWARD,1,0
332,1.0,Goal,0,0
333,23.0,Start,6,3
334,15.0,RIGHT,6,3
335,7.0,FORWARD,6,3
336,-4.0,BASH,6,2
337,-20.0,FORWARD,6,1
338,-37.0,RIGHT,6,0
339,-55.0,FORWARD,6,0
340,-72.0,FORWARD,5,0
341,-91.0,BASH,4,0
342,-118.0,FORWARD,3,0
343,-142.0,FORWARD,2,0
344,-165.0,FORWARD,1,0
345,1.0,Goal,0,0
346,24.0,Start,6,1
347,18.0,LEFT,6,1
348,12.0,FORWARD,6,1
349,0.0,LEFT,6,0
350,-14.0,BASH,6,0
351,-36.0,FORWARD,5,0
352,-54.0,FORWARD,4,0
353,-71.0,BASH,3,0
354,-100.0,FORWARD,2,0
355,-125.0,FORWARD,1,0
356,1.0,Goal,0,0
357,27.0,Start,3,6
358,19.0,LEFT,3,6
359,11.0,FORWARD,3,6
360,-2.0,BASH,3,5
361,-24.0,FORWARD,3,4
362,-43.0,FORWARD,3,3
363,-61.0,FORWARD,3,2
364,-81.0,FORWARD,3,1
365,-103.0,LEFT,3,0
366,-126.0,BASH,3,0
367,-159.0,FORWARD,2,0
368,-187.0,FORWARD,1,0
369,1.0,Goal,0,0
370,1.0,Goal,0,0
371,-1.0,Start,0,0
372,8.0,Start,2,2
373,5.0,LEFT,2,2
374,2.0,LEFT,2,2
375,-1.0,FORWARD,2,2
376,-6.0,FORWARD,1,2
377,-12.0,LEFT,0,2
378,-19.0,BASH,0,2
379,-28.0,FORWARD,0,1
380,1.0,Goal,0,0
381,1.0,Start,1,1
382,0.0,FORWARD,1,1
383,-1.0,RIGHT,0,1
384,-2.0,FORWARD,0,1
385,1.0,Goal,0,0
386,4.0,Start,0,3
387,2.0,LEFT,0,3
388,0.0,FORWARD,0,3
389,-2.0,BASH,0,2
390,-13.0,FORWARD,0,1
391,1.0,Goal,0,0
392,0.0,Start,0,1
393,0.0,RIGHT,0,1
394,0.0,FORWARD,0,1
395,1.0,Goal,0,0
396,15.0,Start,5,1
397,10.0,LEFT,5,1
398,5.0,LEFT,5,1
399,0.0,FORWARD,5,1
400,-7.0,FORWARD,4,1
401,-15.0,FORWARD,3,1
402,-25.0,RIGHT,2,1
403,-36.0,FORWARD,2,1
404,-49.0,LEFT,2,0
405,-63.0,BASH,2,0
406,-82.0,FORWARD,1,0
407,1.0,Goal,0,0
408,18.0,Start,0,6
409,13.0,LEFT,0,6
410,8.0,BASH,0,6
411,-9.0,FORWARD,0,5
412,-21.0,BASH,0,4
413,-39.0,FORWARD,0,3
414,-57.0,BASH,0,2
415,-82.0,FORWARD,0,1
416,1.0,Goal,0,0
417,25.0,Start,3,7
418,16.0,LEFT,3,7
419,7.0,BASH,3,7
420,-7.0,FORWARD,3,6
421,-29.0,BASH,3,5
422,-51.0,FORWARD,3,4
423,-73.0,BASH,3,3
424,-99.0,FORWARD,3,2
425,-124.0,LEFT,3,1
426,-150.0,FORWARD,3,1
427,-175.0,RIGHT,2,1
428,-200.0,FORWARD,2,1
429,-225.0,LEFT,2,0
430,-250.0,FORWARD,2,0
431,-275.0,FORWARD,1,0
432,1.0,Goal,0,0
433,14.0,Start,5,3
434,7.0,BASH,5,3
